# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,1.76,10.93,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.664,10.638,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.788,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.696,10.751,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.702,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.76,10.717,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.657,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.824,10.874,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.806,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.825,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.777,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.638,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.92,10.773,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.586,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.76,10.578,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.92,10.953,1,1,2,128,1,1,0,28,3,0,16,0,64,0,0,0,0,46,0,2
